"Package","Version","citation"
"lifecycle","1.0.4","To cite package ‘lifecycle’ in publications use:    Henry L, Wickham H (2023). _lifecycle: Manage the Life Cycle of your Package Functions_. R   package version 1.0.4, https://github.com/r-lib/lifecycle, <https://lifecycle.r-lib.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {lifecycle: Manage the Life Cycle of your Package Functions},     author = {Lionel Henry and Hadley Wickham},     year = {2023},     note = {R package version 1.0.4, https://github.com/r-lib/lifecycle},     url = {https://lifecycle.r-lib.org/},   }"
"lme4","1.1-37","To cite lme4 in publications use:    Douglas Bates, Martin Maechler, Ben Bolker, Steve Walker (2015). Fitting Linear   Mixed-Effects Models Using lme4. Journal of Statistical Software, 67(1), 1-48.   doi:10.18637/jss.v067.i01.  A BibTeX entry for LaTeX users is    @Article{,     title = {Fitting Linear Mixed-Effects Models Using {lme4}},     author = {Douglas Bates and Martin M{\""a}chler and Ben Bolker and Steve Walker},     journal = {Journal of Statistical Software},     year = {2015},     volume = {67},     number = {1},     pages = {1--48},     doi = {10.18637/jss.v067.i01},   }"
"locfit","1.5-9.12","To cite package ‘locfit’ in publications use:    Loader C (2025). _locfit: Local Regression, Likelihood and Density Estimation_. R package   version 1.5-9.12, <https://CRAN.R-project.org/package=locfit>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {locfit: Local Regression, Likelihood and Density Estimation},     author = {Catherine Loader},     year = {2025},     note = {R package version 1.5-9.12},     url = {https://CRAN.R-project.org/package=locfit},   }"
"lubridate","1.9.4","To cite lubridate in publications use:    Garrett Grolemund, Hadley Wickham (2011). Dates and Times Made Easy with lubridate. Journal   of Statistical Software, 40(3), 1-25. URL https://www.jstatsoft.org/v40/i03/.  A BibTeX entry for LaTeX users is    @Article{,     title = {Dates and Times Made Easy with {lubridate}},     author = {Garrett Grolemund and Hadley Wickham},     journal = {Journal of Statistical Software},     year = {2011},     volume = {40},     number = {3},     pages = {1--25},     url = {https://www.jstatsoft.org/v40/i03/},   }"
"magick","2.8.7","To cite package ‘magick’ in publications use:    Ooms J (2025). _magick: Advanced Graphics and Image-Processing in R_. R package version   2.8.7, <https://CRAN.R-project.org/package=magick>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {magick: Advanced Graphics and Image-Processing in R},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 2.8.7},     url = {https://CRAN.R-project.org/package=magick},   }"
"magrittr","2.0.3","To cite package ‘magrittr’ in publications use:    Bache S, Wickham H (2022). _magrittr: A Forward-Pipe Operator for R_. R package version   2.0.3, https://github.com/tidyverse/magrittr, <https://magrittr.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {magrittr: A Forward-Pipe Operator for R},     author = {Stefan Milton Bache and Hadley Wickham},     year = {2022},     note = {R package version 2.0.3,  https://github.com/tidyverse/magrittr},     url = {https://magrittr.tidyverse.org},   }"
"MatrixGenerics","1.14.0","To cite package ‘MatrixGenerics’ in publications use:    Ahlmann-Eltze C, Hickey P, Pagès H (2023). _MatrixGenerics: S4 Generic Summary Statistic   Functions that Operate on Matrix-Like Objects_. doi:10.18129/B9.bioc.MatrixGenerics   <https://doi.org/10.18129/B9.bioc.MatrixGenerics>, R package version 1.14.0,   <https://bioconductor.org/packages/MatrixGenerics>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {MatrixGenerics: S4 Generic Summary Statistic Functions that Operate on Matrix-Like Objects},     author = {Constantin Ahlmann-Eltze and Peter Hickey and Hervé Pagès},     year = {2023},     note = {R package version 1.14.0},     url = {https://bioconductor.org/packages/MatrixGenerics},     doi = {10.18129/B9.bioc.MatrixGenerics},   }"
"MatrixModels","0.5-4","To cite package ‘MatrixModels’ in publications use:    Bates D, Maechler M (2025). _MatrixModels: Modelling with Sparse and Dense Matrices_. R   package version 0.5-4, <https://CRAN.R-project.org/package=MatrixModels>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {MatrixModels: Modelling with Sparse and Dense Matrices},     author = {Douglas Bates and Martin Maechler},     year = {2025},     note = {R package version 0.5-4},     url = {https://CRAN.R-project.org/package=MatrixModels},   }"
"matrixStats","1.5.0","To cite package ‘matrixStats’ in publications use:    Bengtsson H (2025). _matrixStats: Functions that Apply to Rows and Columns of Matrices (and   to Vectors)_. R package version 1.5.0, <https://CRAN.R-project.org/package=matrixStats>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {matrixStats: Functions that Apply to Rows and Columns of Matrices (and to Vectors)},     author = {Henrik Bengtsson},     year = {2025},     note = {R package version 1.5.0},     url = {https://CRAN.R-project.org/package=matrixStats},   }"
"memoise","2.0.1","To cite package ‘memoise’ in publications use:    Wickham H, Hester J, Chang W, Müller K, Cook D (2021). _memoise: 'Memoisation' of   Functions_. R package version 2.0.1, https://github.com/r-lib/memoise,   <https://memoise.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {memoise: 'Memoisation' of Functions},     author = {Hadley Wickham and Jim Hester and Winston Chang and Kirill Müller and Daniel Cook},     year = {2021},     note = {R package version 2.0.1, https://github.com/r-lib/memoise},     url = {https://memoise.r-lib.org},   }"
"microbenchmark","1.5.0","To cite package ‘microbenchmark’ in publications use:    Mersmann O (2024). _microbenchmark: Accurate Timing Functions_. R package version 1.5.0,   <https://CRAN.R-project.org/package=microbenchmark>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {microbenchmark: Accurate Timing Functions},     author = {Olaf Mersmann},     year = {2024},     note = {R package version 1.5.0},     url = {https://CRAN.R-project.org/package=microbenchmark},   }"
"microbiome","1.24.0","Please cite the package as follows:    Leo Lahti et al.  microbiome R package.  URL: http://microbiome.github.io  A BibTeX entry for LaTeX users is    @Misc{,     title = {microbiome R package},     author = {Leo Lahti and Sudarshan Shetty},     year = {2012-2019},   }"
"mime","0.13","To cite package ‘mime’ in publications use:    Xie Y (2025). _mime: Map Filenames to MIME Types_. R package version 0.13,   <https://github.com/yihui/mime>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {mime: Map Filenames to MIME Types},     author = {Yihui Xie},     year = {2025},     note = {R package version 0.13},     url = {https://github.com/yihui/mime},   }"
"minqa","1.2.8","To cite package ‘minqa’ in publications use:    Bates D, Mullen KM, Nash JC, Varadhan R (2024). _minqa: Derivative-Free Optimization   Algorithms by Quadratic Approximation_. R package version 1.2.8,   <https://CRAN.R-project.org/package=minqa>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {minqa: Derivative-Free Optimization Algorithms by Quadratic Approximation},     author = {Douglas Bates and Katharine M. Mullen and John C. Nash and Ravi Varadhan},     year = {2024},     note = {R package version 1.2.8},     url = {https://CRAN.R-project.org/package=minqa},   }"
"mixOmics","6.26.0","To cite mixOmics in publications, please use:    Rohart F, Gautier B, Singh A, and Le Cao K-A (2017) mixOmics: An R package for 'omics   feature selection and multiple data integration. PLoS computational biology 13(11):e1005752  A BibTeX entry for LaTeX users is    @Article{,     author = {Rohart F and Gautier B and Singh A and Le Cao K-A},     title = {mixOmics: An R package for 'omics feature selection and multiple data integration},     journal = {PLoS computational biology},     volume = {13},     number = {11},     pages = {e1005752},     year = {2017},     publisher = {Public Library of Science},     url = {http://www.mixOmics.org},   }"
"modelr","0.1.11","To cite package ‘modelr’ in publications use:    Wickham H (2023). _modelr: Modelling Functions that Work with the Pipe_. R package version   0.1.11, https://github.com/tidyverse/modelr, <https://modelr.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {modelr: Modelling Functions that Work with the Pipe},     author = {Hadley Wickham},     year = {2023},     note = {R package version 0.1.11, https://github.com/tidyverse/modelr},     url = {https://modelr.tidyverse.org},   }"
"multtest","2.58.0","To cite package multtest in publications use:    K.S Pollard, S. Dudoit, M.J. van der Laan (2005). Multiple Testing Procedures: R multtest   Package and Applications to Genomics, in Bioinformatics and Computational Biology Solutions   Using R and Bioconductor, R. Gentleman, V. Carey, W. Huber, R. Irizarry, S. Dudoit   (Editors). Springer (Statistics for Biology and Health Series), pp. 251-272.  A BibTeX entry for LaTeX users is    @Book{,     title = {Multiple Testing Procedures: R multtest Package and Applications to Genomics, in Bioinformatics and Computational Biology Solutions Using R and Bioconductor},     year = {2005},     author = {Katherine S. Pollard and Sandrine Dudoit and Mark J. {van der Laan}},     publisher = {Springer},   }"
"nloptr","2.2.1","If you use NLopt in work that leads to a publication, we would appreciate it if you would kindly cite NLopt in your manuscript. Please cite both the NLopt library and the authors of the specific algorithm(s) that you employed in your work. Cite NLopt as:    Johnson S (2008). _The NLopt nonlinear-optimization package_.   <https://github.com/stevengj/nlopt>.  A BibTeX entry for LaTeX users is    @Manual{,     author = {Steven G. Johnson},     title = {The NLopt nonlinear-optimization package},     year = {2008},     url = {https://github.com/stevengj/nlopt},   }  The authors and appropriate citations for the specific optimization algorithms in NLopt are listed in the NLopt Algorithms page."
"numDeriv","2016.8-1.1","To cite package ‘numDeriv’ in publications use:    Gilbert P, Varadhan R (2019). _numDeriv: Accurate Numerical Derivatives_. R package version   2016.8-1.1, <https://CRAN.R-project.org/package=numDeriv>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {numDeriv: Accurate Numerical Derivatives},     author = {Paul Gilbert and Ravi Varadhan},     year = {2019},     note = {R package version 2016.8-1.1},     url = {https://CRAN.R-project.org/package=numDeriv},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"openssl","2.3.3","To cite package ‘openssl’ in publications use:    Ooms J (2025). _openssl: Toolkit for Encryption, Signatures and Certificates Based on   OpenSSL_. R package version 2.3.3, <https://jeroen.r-universe.dev/openssl>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {openssl: Toolkit for Encryption, Signatures and Certificates Based on OpenSSL},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 2.3.3},     url = {https://jeroen.r-universe.dev/openssl},   }"
"patchwork","1.3.1","To cite package ‘patchwork’ in publications use:    Pedersen T (2025). _patchwork: The Composer of Plots_. R package version 1.3.1,   <https://CRAN.R-project.org/package=patchwork>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {patchwork: The Composer of Plots},     author = {Thomas Lin Pedersen},     year = {2025},     note = {R package version 1.3.1},     url = {https://CRAN.R-project.org/package=patchwork},   }"
"pbkrtest","0.5.4","To cite pbkrtest in publications use:    Ulrich Halekoh, Søren Højsgaard (2014). A Kenward-Roger Approximation and Parametric   Bootstrap Methods for Tests in Linear Mixed Models - The R Package pbkrtest. Journal of   Statistical Software, 59(9), 1-30. URL https://www.jstatsoft.org/v59/i09/.  A BibTeX entry for LaTeX users is    @Article{,     title = {A Kenward-Roger Approximation and Parametric Bootstrap Methods for Tests in Linear Mixed Models -- The {R} Package {pbkrtest}},     author = {Ulrich Halekoh and Søren Højsgaard},     journal = {Journal of Statistical Software},     year = {2014},     volume = {59},     number = {9},     pages = {1--30},     url = {https://www.jstatsoft.org/v59/i09/},   }"
"pdftools","3.5.0","To cite package ‘pdftools’ in publications use:    Ooms J (2025). _pdftools: Text Extraction, Rendering and Converting of PDF Documents_. R   package version 3.5.0, <https://CRAN.R-project.org/package=pdftools>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {pdftools: Text Extraction, Rendering and Converting of PDF Documents},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 3.5.0},     url = {https://CRAN.R-project.org/package=pdftools},   }"
"permute","0.9-8","To cite package ‘permute’ in publications use:    Simpson G (2025). _permute: Functions for Generating Restricted Permutations of Data_. R   package version 0.9-8, <https://CRAN.R-project.org/package=permute>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {permute: Functions for Generating Restricted Permutations of Data},     author = {Gavin L. Simpson},     year = {2025},     note = {R package version 0.9-8},     url = {https://CRAN.R-project.org/package=permute},   }"
"phyloseq","1.46.0","To cite phyloseq in publications, or otherwise credit, please use:    phyloseq: An R package for reproducible interactive analysis and graphics of microbiome   census data. Paul J. McMurdie and Susan Holmes (2013) PLoS ONE 8(4):e61217.  A BibTeX entry for LaTeX users is    @Article{,     author = {Paul J. McMurdie and Susan Holmes},     journal = {PLoS ONE},     pages = {e61217},     title = {phyloseq: An R package for reproducible interactive analysis and graphics of microbiome census data},     volume = {8},     number = {4},     year = {2013},     url = {http://dx.plos.org/10.1371/journal.pone.0061217},   }"
"pillar","1.11.0","To cite package ‘pillar’ in publications use:    Müller K, Wickham H (2025). _pillar: Coloured Formatting for Columns_. R package version   1.11.0, <https://CRAN.R-project.org/package=pillar>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {pillar: Coloured Formatting for Columns},     author = {Kirill Müller and Hadley Wickham},     year = {2025},     note = {R package version 1.11.0},     url = {https://CRAN.R-project.org/package=pillar},   }"
"pixmap","0.4-13","To cite package ‘pixmap’ in publications use:    Bivand R, Leisch F, Maechler M (2024). _pixmap: Bitmap Images / Pixel Maps_. R package   version 0.4-13, <https://CRAN.R-project.org/package=pixmap>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {pixmap: Bitmap Images / Pixel Maps},     author = {Roger Bivand and Friedrich Leisch and Martin Maechler},     year = {2024},     note = {R package version 0.4-13},     url = {https://CRAN.R-project.org/package=pixmap},   }"
"pkgconfig","2.0.3","To cite package ‘pkgconfig’ in publications use:    Csárdi G (2019). _pkgconfig: Private Configuration for 'R' Packages_. R package version   2.0.3, <https://CRAN.R-project.org/package=pkgconfig>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {pkgconfig: Private Configuration for 'R' Packages},     author = {Gábor Csárdi},     year = {2019},     note = {R package version 2.0.3},     url = {https://CRAN.R-project.org/package=pkgconfig},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"plyr","1.8.9","To cite package ‘plyr’ in publications use:    Hadley Wickham (2011). The Split-Apply-Combine Strategy for Data Analysis. Journal of   Statistical Software, 40(1), 1-29. URL https://www.jstatsoft.org/v40/i01/.  A BibTeX entry for LaTeX users is    @Article{,     title = {The Split-Apply-Combine Strategy for Data Analysis},     author = {Hadley Wickham},     journal = {Journal of Statistical Software},     year = {2011},     volume = {40},     number = {1},     pages = {1--29},     url = {https://www.jstatsoft.org/v40/i01/},   }"
"png","0.1-9","To cite package ‘png’ in publications use:    Urbanek S (2026). _png: Read and write PNG images_. R package version 0.1-9,   <https://CRAN.R-project.org/package=png>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {png: Read and write PNG images},     author = {Simon Urbanek},     year = {2026},     note = {R package version 0.1-9},     url = {https://CRAN.R-project.org/package=png},   }"
"polyclip","1.10-7","To cite package ‘polyclip’ in publications use:    Johnson A, Baddeley A (2024). _polyclip: Polygon Clipping_. R package version 1.10-7,   https://sourceforge.net/projects/polyclipping, https://github.com/baddstats/polyclip,   <https://www.angusj.com>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {polyclip: Polygon Clipping},     author = {Angus Johnson and Adrian Baddeley},     year = {2024},     note = {R package version 1.10-7,  https://sourceforge.net/projects/polyclipping, https://github.com/baddstats/polyclip},     url = {https://www.angusj.com},   }"
"polynom","1.4-1","To cite in publications use:    Bill Venables and Kurt Hornik and Martin Maechler (2022). polynom: A Collection of Functions   to Implement a Class for Univariate Polynomial Manipulations. R package version 1.4-1.  A BibTeX entry for LaTeX users is    @Manual{,     title = {polynom: A Collection of Functions to Implement a Class for Univariate Polynomial Manipulations},     author = {Bill Venables and Kurt Hornik and Martin Maechler},     year = {2022},     note = {R package version 1.4-1. S original by Bill Venables, packages for R by Kurt Hornik and Martin Maechler.},     url = {https://CRAN.R-project.org/package=polynom},   }"
"prettyunits","1.2.0","To cite package ‘prettyunits’ in publications use:    Csardi G (2023). _prettyunits: Pretty, Human Readable Formatting of Quantities_. R package   version 1.2.0, <https://github.com/r-lib/prettyunits>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {prettyunits: Pretty, Human Readable Formatting of Quantities},     author = {Gabor Csardi},     year = {2023},     note = {R package version 1.2.0},     url = {https://github.com/r-lib/prettyunits},   }"
"processx","3.8.6","To cite package ‘processx’ in publications use:    Csárdi G, Chang W (2025). _processx: Execute and Control System Processes_. R package   version 3.8.6, https://github.com/r-lib/processx, <https://processx.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {processx: Execute and Control System Processes},     author = {Gábor Csárdi and Winston Chang},     year = {2025},     note = {R package version 3.8.6, https://github.com/r-lib/processx},     url = {https://processx.r-lib.org},   }"
"progress","1.2.3","To cite package ‘progress’ in publications use:    Csárdi G, FitzJohn R (2023). _progress: Terminal Progress Bars_. R package version 1.2.3,   http://r-lib.github.io/progress/, <https://github.com/r-lib/progress#readme>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {progress: Terminal Progress Bars},     author = {Gábor Csárdi and Rich FitzJohn},     year = {2023},     note = {R package version 1.2.3,  http://r-lib.github.io/progress/},     url = {https://github.com/r-lib/progress#readme},   }"
"ps","1.9.1","To cite package ‘ps’ in publications use:    Loden J, Daeschler D, Rodola' G, Csárdi G (2025). _ps: List, Query, Manipulate System   Processes_. R package version 1.9.1, https://ps.r-lib.org/, <https://github.com/r-lib/ps>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ps: List, Query, Manipulate System Processes},     author = {Jay Loden and Dave Daeschler and Giampaolo Rodola' and Gábor Csárdi},     year = {2025},     note = {R package version 1.9.1, https://ps.r-lib.org/},     url = {https://github.com/r-lib/ps},   }"
"purrr","1.1.0","To cite package ‘purrr’ in publications use:    Wickham H, Henry L (2025). _purrr: Functional Programming Tools_. R package version 1.1.0,   <https://CRAN.R-project.org/package=purrr>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {purrr: Functional Programming Tools},     author = {Hadley Wickham and Lionel Henry},     year = {2025},     note = {R package version 1.1.0},     url = {https://CRAN.R-project.org/package=purrr},   }"
"qpdf","1.4.1","To cite package ‘qpdf’ in publications use:    Ooms J (2025). _qpdf: Split, Combine and Compress PDF Files_. R package version 1.4.1,   <https://CRAN.R-project.org/package=qpdf>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {qpdf: Split, Combine and Compress PDF Files},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 1.4.1},     url = {https://CRAN.R-project.org/package=qpdf},   }"
"quantreg","6.1","To cite package ‘quantreg’ in publications use:    Koenker R (2025). _quantreg: Quantile Regression_. R package version 6.1,   <https://CRAN.R-project.org/package=quantreg>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {quantreg: Quantile Regression},     author = {Roger Koenker},     year = {2025},     note = {R package version 6.1},     url = {https://CRAN.R-project.org/package=quantreg},   }"
"R.methodsS3","1.8.2","Please cite R.oo/R.methodsS3 as    Bengtsson, H. The R.oo package - Object-Oriented Programming with References Using Standard   R Code, Proceedings of the 3rd International Workshop on Distributed Statistical Computing   (DSC 2003), ISSN 1609-395X, Hornik, K.; Leisch, F. & Zeileis, A. (ed.), 2003  A BibTeX entry for LaTeX users is    @InProceedings{,     author = {Henrik Bengtsson},     title = {The {R.oo} package - Object-Oriented Programming with References Using Standard {R} Code},     booktitle = {Proceedings of the 3rd International Workshop on Distributed Statistical Computing (DSC 2003)},     year = {2003},     editor = {Kurt Hornik and Friedrich Leisch and Achim Zeileis},     address = {Vienna, Austria},     month = {March},     issn = {1609-395X},     url = {https://www.r-project.org/conferences/DSC-2003/Proceedings/Bengtsson.pdf},     howpublished = {https://www.r-project.org/conferences/DSC-2003/Proceedings/},   }"
"R.oo","1.27.1","Please cite R.oo/R.methodsS3 as:    Bengtsson, H. The R.oo package - Object-Oriented Programming with References Using Standard   R Code, Proceedings of the 3rd International Workshop on Distributed Statistical Computing   (DSC 2003), ISSN 1609-395X, Hornik, K.; Leisch, F. & Zeileis, A. (ed.), 2003  A BibTeX entry for LaTeX users is    @InProceedings{,     author = {Henrik Bengtsson},     title = {The {R.oo} package - Object-Oriented Programming with References Using Standard {R} Code},     booktitle = {Proceedings of the 3rd International Workshop on Distributed Statistical Computing (DSC 2003)},     year = {2003},     editor = {Kurt Hornik and Friedrich Leisch and Achim Zeileis},     address = {Vienna, Austria},     month = {March},     issn = {1609-395X},     url = {https://www.r-project.org/conferences/DSC-2003/Proceedings/Bengtsson.pdf},     howpublished = {https://www.r-project.org/conferences/DSC-2003/Proceedings/},   }"
"R.utils","2.13.0","To cite package ‘R.utils’ in publications use:    Bengtsson H (2025). _R.utils: Various Programming Utilities_. R package version 2.13.0,   <https://CRAN.R-project.org/package=R.utils>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {R.utils: Various Programming Utilities},     author = {Henrik Bengtsson},     year = {2025},     note = {R package version 2.13.0},     url = {https://CRAN.R-project.org/package=R.utils},   }"
"R6","2.6.1","To cite package ‘R6’ in publications use:    Chang W (2025). _R6: Encapsulated Classes with Reference Semantics_. R package version   2.6.1, https://github.com/r-lib/R6, <https://r6.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {R6: Encapsulated Classes with Reference Semantics},     author = {Winston Chang},     year = {2025},     note = {R package version 2.6.1, https://github.com/r-lib/R6},     url = {https://r6.r-lib.org},   }"
"ragg","1.4.0","To cite package ‘ragg’ in publications use:    Pedersen T, Shemanarev M (2025). _ragg: Graphic Devices Based on AGG_. R package version   1.4.0, https://github.com/r-lib/ragg, <https://ragg.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ragg: Graphic Devices Based on AGG},     author = {Thomas Lin Pedersen and Maxim Shemanarev},     year = {2025},     note = {R package version 1.4.0, https://github.com/r-lib/ragg},     url = {https://ragg.r-lib.org},   }"
"rappdirs","0.3.3","To cite package ‘rappdirs’ in publications use:    Ratnakumar S, Mick T, Davis T (2021). _rappdirs: Application Directories: Determine Where to   Save Data, Caches, and Logs_. R package version 0.3.3, https://github.com/r-lib/rappdirs,   <https://rappdirs.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {rappdirs: Application Directories: Determine Where to Save Data, Caches, and Logs},     author = {Sridhar Ratnakumar and Trent Mick and Trevor Davis},     year = {2021},     note = {R package version 0.3.3, https://github.com/r-lib/rappdirs},     url = {https://rappdirs.r-lib.org},   }"
"rARPACK","0.11-0","To cite package ‘rARPACK’ in publications use:    Qiu Y, Mei J, details. aotAlSfAf (2016). _rARPACK: Solvers for Large Scale Eigenvalue and   SVD Problems_. R package version 0.11-0, <https://CRAN.R-project.org/package=rARPACK>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {rARPACK: Solvers for Large Scale Eigenvalue and SVD Problems},     author = {Yixuan Qiu and Jiali Mei and authors of the ARPACK library. See file AUTHORS for details.},     year = {2016},     note = {R package version 0.11-0},     url = {https://CRAN.R-project.org/package=rARPACK},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"rbibutils","2.3","To cite package ‘rbibutils’ in publications use:    Boshnakov GN, Putman C (2024). _rbibutils: Read 'Bibtex' Files and Convert Between   Bibliography Formats_. R package version 2.3,   <https://CRAN.R-project.org/package=rbibutils>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {rbibutils: Read 'Bibtex' Files and Convert Between Bibliography Formats},     author = {Georgi N. Boshnakov and Chris Putman},     year = {2024},     note = {R package version 2.3},     url = {https://CRAN.R-project.org/package=rbibutils},   }"
"RColorBrewer","1.1-3","To cite package ‘RColorBrewer’ in publications use:    Neuwirth E (2022). _RColorBrewer: ColorBrewer Palettes_. R package version 1.1-3,   <https://CRAN.R-project.org/package=RColorBrewer>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {RColorBrewer: ColorBrewer Palettes},     author = {Erich Neuwirth},     year = {2022},     note = {R package version 1.1-3},     url = {https://CRAN.R-project.org/package=RColorBrewer},   }"
"Rcpp","1.1.0","To cite package ‘Rcpp’ in publications use:    Eddelbuettel D, Francois R, Allaire J, Ushey K, Kou Q, Russell N, Ucar I, Bates D, Chambers   J (2025). _Rcpp: Seamless R and C++ Integration_. R package version 1.1.0,   <https://CRAN.R-project.org/package=Rcpp>.    Eddelbuettel D, François R (2011). “Rcpp: Seamless R and C++ Integration.” _Journal of   Statistical Software_, *40*(8), 1-18. doi:10.18637/jss.v040.i08   <https://doi.org/10.18637/jss.v040.i08>.    Eddelbuettel D (2013). _Seamless R and C++ Integration with Rcpp_. Springer, New York.   doi:10.1007/978-1-4614-6868-4 <https://doi.org/10.1007/978-1-4614-6868-4>, ISBN   978-1-4614-6867-7.    Eddelbuettel D, Balamuta J (2018). “Extending R with C++: A Brief Introduction to Rcpp.”   _The American Statistician_, *72*(1), 28-36. doi:10.1080/00031305.2017.1375990   <https://doi.org/10.1080/00031305.2017.1375990>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"RcppArmadillo","14.6.0-1","To cite package ‘RcppArmadillo’ in publications use:    Eddelbuettel D, Sanderson C (2014). “RcppArmadillo: Accelerating R with high-performance C++   linear algebra.” _Computational Statistics and Data Analysis_, *71*, 1054-1063.   doi:10.1016/j.csda.2013.02.005 <https://doi.org/10.1016/j.csda.2013.02.005>.    Eddelbuettel D, Francois R, Bates D, Ni B, Sanderson C (2025). _RcppArmadillo: 'Rcpp'   Integration for the 'Armadillo' Templated Linear Algebra Library_. R package version   14.6.0-1, <https://CRAN.R-project.org/package=RcppArmadillo>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"RcppEigen","0.3.4.0.2","To cite package ‘RcppEigen’ in publications use:    Bates D, Eddelbuettel D (2013). “Fast and Elegant Numerical Linear Algebra Using the   RcppEigen Package.” _Journal of Statistical Software_, *52*(5), 1-24.   doi:10.18637/jss.v052.i05 <https://doi.org/10.18637/jss.v052.i05>.  A BibTeX entry for LaTeX users is    @Article{,     title = {Fast and Elegant Numerical Linear Algebra Using the {RcppEigen} Package},     author = {Douglas Bates and Dirk Eddelbuettel},     journal = {Journal of Statistical Software},     year = {2013},     volume = {52},     number = {5},     pages = {1--24},     doi = {10.18637/jss.v052.i05},   }"
"RCurl","1.98-1.17","To cite package ‘RCurl’ in publications use:    Temple Lang D (2025). _RCurl: General Network (HTTP/FTP/...) Client Interface for R_. R   package version 1.98-1.17, <https://CRAN.R-project.org/package=RCurl>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {RCurl: General Network (HTTP/FTP/...) Client Interface for R},     author = {Duncan {Temple Lang}},     year = {2025},     note = {R package version 1.98-1.17},     url = {https://CRAN.R-project.org/package=RCurl},   }"
"Rdpack","2.6.4","To cite package ‘Rdpack’ in publications use:    Boshnakov GN (2025). _Rdpack: Update and Manipulate Rd Documentation Objects_. R package   version 2.6.4, <https://CRAN.R-project.org/package=Rdpack>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {Rdpack: Update and Manipulate Rd Documentation Objects},     author = {Georgi N. Boshnakov},     year = {2025},     note = {R package version 2.6.4},     url = {https://CRAN.R-project.org/package=Rdpack},   }"
"readr","2.1.5","To cite package ‘readr’ in publications use:    Wickham H, Hester J, Bryan J (2024). _readr: Read Rectangular Text Data_. R package version   2.1.5, https://github.com/tidyverse/readr, <https://readr.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {readr: Read Rectangular Text Data},     author = {Hadley Wickham and Jim Hester and Jennifer Bryan},     year = {2024},     note = {R package version 2.1.5, https://github.com/tidyverse/readr},     url = {https://readr.tidyverse.org},   }"
