"Package","Version","citation"
"broom","1.0.8","To cite package ‘broom’ in publications use:    Robinson D, Hayes A, Couch S (2025). _broom: Convert Statistical Objects into Tidy Tibbles_.   R package version 1.0.8, https://github.com/tidymodels/broom,   <https://broom.tidymodels.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {broom: Convert Statistical Objects into Tidy Tibbles},     author = {David Robinson and Alex Hayes and Simon Couch},     year = {2025},     note = {R package version 1.0.8, https://github.com/tidymodels/broom},     url = {https://broom.tidymodels.org/},   }"
"bslib","0.9.0","To cite package ‘bslib’ in publications use:    Sievert C, Cheng J, Aden-Buie G (2025). _bslib: Custom 'Bootstrap' 'Sass' Themes for 'shiny'   and 'rmarkdown'_. R package version 0.9.0, https://github.com/rstudio/bslib,   <https://rstudio.github.io/bslib/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bslib: Custom 'Bootstrap' 'Sass' Themes for 'shiny' and 'rmarkdown'},     author = {Carson Sievert and Joe Cheng and Garrick Aden-Buie},     year = {2025},     note = {R package version 0.9.0, https://github.com/rstudio/bslib},     url = {https://rstudio.github.io/bslib/},   }"
"cachem","1.1.0","To cite package ‘cachem’ in publications use:    Chang W (2024). _cachem: Cache R Objects with Automatic Pruning_. R package version 1.1.0,   https://github.com/r-lib/cachem, <https://cachem.r-lib.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {cachem: Cache R Objects with Automatic Pruning},     author = {Winston Chang},     year = {2024},     note = {R package version 1.1.0, https://github.com/r-lib/cachem},     url = {https://cachem.r-lib.org/},   }"
"callr","3.7.6","To cite package ‘callr’ in publications use:    Csárdi G, Chang W (2024). _callr: Call R from R_. R package version 3.7.6,   https://github.com/r-lib/callr, <https://callr.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {callr: Call R from R},     author = {Gábor Csárdi and Winston Chang},     year = {2024},     note = {R package version 3.7.6, https://github.com/r-lib/callr},     url = {https://callr.r-lib.org},   }"
"car","3.1-3","To cite the car package in publications use:    Fox J, Weisberg S (2019). _An R Companion to Applied Regression_, Third edition. Sage,   Thousand Oaks CA. <https://www.john-fox.ca/Companion/>.  A BibTeX entry for LaTeX users is    @Book{,     title = {An {R} Companion to Applied Regression},     edition = {Third},     author = {John Fox and Sanford Weisberg},     year = {2019},     publisher = {Sage},     address = {Thousand Oaks {CA}},     url = {https://www.john-fox.ca/Companion/},   }"
"carData","3.0-5","To cite package ‘carData’ in publications use:    Fox J, Weisberg S, Price B (2022). _carData: Companion to Applied Regression Data Sets_. R   package version 3.0-5, <https://CRAN.R-project.org/package=carData>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {carData: Companion to Applied Regression Data Sets},     author = {John Fox and Sanford Weisberg and Brad Price},     year = {2022},     note = {R package version 3.0-5},     url = {https://CRAN.R-project.org/package=carData},   }"
"cellranger","1.1.0","To cite package ‘cellranger’ in publications use:    Bryan J (2016). _cellranger: Translate Spreadsheet Cell Ranges to Rows and Columns_. R   package version 1.1.0, <https://github.com/rsheets/cellranger>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {cellranger: Translate Spreadsheet Cell Ranges to Rows and Columns},     author = {Jennifer Bryan},     year = {2016},     note = {R package version 1.1.0},     url = {https://github.com/rsheets/cellranger},   }"
"checkmate","2.3.2","To cite package ‘checkmate’ in publications use:    Lang M (2017). “checkmate: Fast Argument Checks for Defensive R Programming.” _The R   Journal_, *9*(1), 437-445. doi:10.32614/RJ-2017-028 <https://doi.org/10.32614/RJ-2017-028>.  A BibTeX entry for LaTeX users is    @Article{checkmate,     title = {{checkmate}: Fast Argument Checks for Defensive {R} Programming},     author = {Michel Lang},     journal = {The R Journal},     year = {2017},     doi = {10.32614/RJ-2017-028},     pages = {437--445},     volume = {9},     number = {1},   }"
"circlize","0.4.17","To cite package ‘circlize’ in publications use:    Gu, Z. (2014) circlize implements and enhances circular visualization in R. Bioinformatics.  A BibTeX entry for LaTeX users is    @Article{,     author = {Zuguang Gu and Lei Gu and Roland Eils and Matthias Schlesner and Benedikt Brors},     title = {circlize implements and enhances circular visualization in R},     journal = {Bioinformatics},     year = {2014},     doi = {10.1093/bioinformatics/btu393},     url = {https://doi.org/10.1093/bioinformatics/btu393},   }"
"cli","3.6.5","To cite package ‘cli’ in publications use:    Csárdi G (2025). _cli: Helpers for Developing Command Line Interfaces_. R package version   3.6.5, https://github.com/r-lib/cli, <https://cli.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {cli: Helpers for Developing Command Line Interfaces},     author = {Gábor Csárdi},     year = {2025},     note = {R package version 3.6.5, https://github.com/r-lib/cli},     url = {https://cli.r-lib.org},   }"
